Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,,,2026-01-29,2026-02-05 22:51 CET,BIS,"https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?","https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2019-03-31,F:Free,31892.394,B:Break,31892.428
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2019-06-30,F:Free,27757.513,B:Break,27771.479
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2019-09-30,F:Free,,A:Normal value,27180.294
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2019-12-31,F:Free,29112.645,B:Break,29113.645
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2020-03-31,F:Free,,A:Normal value,28581.244
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2020-06-30,F:Free,,A:Normal value,27967.872
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2020-09-30,F:Free,,A:Normal value,30441.493
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2020-12-31,F:Free,,A:Normal value,33457.325
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2021-03-31,F:Free,33579.883,B:Break,33604.174
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2021-06-30,F:Free,,A:Normal value,34796.754
